country,client_type,average_basket,average_price,visit_number,age,gender,hobbies,customer_id
it,occasional,2.0,756.0,2.0,46.0,female,,0
uk,occasional,3.0,6229.0,1.0,66.0,male,,1
fr,occasional,1.0,1803.0,2.0,64.0,male,,2
fr,occasional,1.0,1857.0,3.0,52.0,male,,3
fr,occasional,1.0,1761.0,2.0,58.0,male,,4
fr,frequent,3.0,-1.0,11.0,61.0,male,,5
fr,vip,3.0,9787.0,12.0,60.0,male,,6
fr,occasional,1.0,2176.0,1.0,42.0,male,,7
uk,occasional,2.0,5734.0,2.0,40.0,male,,8
fr,occasional,2.0,,1.0,44.0,male,,9
fr,occasional,1.0,1860.0,2.0,71.0,female,,10
fr,occasional,2.0,1727.0,1.0,56.0,male,,11
fr,occasional,1.0,2983.0,4.0,57.0,male,,12
uk,occasional,2.0,7897.0,3.0,62.0,male,,13
uk,vip,2.0,,8.0,71.0,male,,14
fr,occasional,1.0,2901.0,2.0,46.0,female,,15
uk,occasional,3.0,7775.0,1.0,50.0,male,,16
uk,occasional,3.0,6258.0,1.0,64.0,male,,17
fr,frequent,3.0,6465.0,12.0,71.0,male,sport,18
fr,occasional,1.0,2338.0,2.0,43.0,female,,19
fr,occasional,1.0,1828.0,2.0,59.0,male,,20
fr,occasional,1.0,466.0,3.0,28.0,male,,21
it,occasional,2.0,1258.0,2.0,65.0,female,,22
fr,occasional,1.0,1794.0,4.0,34.0,male,,23
fr,occasional,2.0,2725.0,2.0,51.0,male,,24
fr,frequent,1.0,5802.0,7.0,51.0,female,,25
fr,occasional,3.0,,3.0,68.0,male,,26
fr,occasional,1.0,1358.0,1.0,51.0,female,,27
fr,occasional,1.0,2285.0,3.0,50.0,male,,28
fr,occasional,1.0,2617.0,2.0,75.0,female,,29
fr,frequent,3.0,5737.0,16.0,51.0,male,movies,30
fr,occasional,1.0,1550.0,2.0,68.0,male,,31
it,occasional,1.0,1001.0,1.0,40.0,male,,32
fr,frequent,1.0,5285.0,19.0,42.0,female,,33
fr,frequent,3.0,5969.0,11.0,39.0,male,,34
fr,occasional,1.0,841.0,3.0,63.0,male,,35
fr,frequent,2.0,5948.0,11.0,45.0,male,,36
it,occasional,2.0,1501.0,2.0,68.0,male,,37
fr,occasional,1.0,2535.0,2.0,55.0,female,sport,38
fr,frequent,1.0,6810.0,13.0,58.0,male,,39
fr,frequent,3.0,6350.0,12.0,46.0,male,,40
fr,occasional,2.0,1361.0,1.0,61.0,female,,41
uk,occasional,5.0,6106.0,4.0,47.0,male,,42
fr,frequent,1.0,6869.0,8.0,70.0,female,,43
uk,vip,4.0,18930.0,10.0,60.0,male,,44
it,occasional,1.0,1779.0,1.0,65.0,male,,45
fr,occasional,1.0,2259.0,2.0,52.0,male,,46
uk,occasional,2.0,6402.0,1.0,70.0,female,,47
fr,frequent,4.0,4935.0,8.0,57.0,female,,48
uk,occasional,3.0,10052.0,2.0,57.0,male,,49
fr,occasional,1.0,2145.0,2.0,60.0,,,50
fr,occasional,1.0,,4.0,64.0,male,,51
fr,frequent,1.0,5225.0,3.0,65.0,male,,52
uk,occasional,3.0,,1.0,50.0,male,,53
fr,occasional,1.0,2454.0,3.0,55.0,male,,54
it,occasional,2.0,1886.0,5.0,51.0,male,,55
uk,occasional,3.0,7715.0,1.0,54.0,male,,56
uk,frequent,4.0,11323.0,9.0,53.0,female,,57
fr,occasional,1.0,2392.0,1.0,51.0,male,movies,58
uk,occasional,3.0,5799.0,2.0,63.0,male,,59
fr,occasional,2.0,1350.0,2.0,54.0,male,,60
fr,vip,3.0,10400.0,19.0,57.0,male,,61
fr,frequent,1.0,6205.0,10.0,64.0,male,,62
fr,occasional,1.0,2116.0,1.0,66.0,male,,63
fr,frequent,2.0,,8.0,63.0,male,,64
it,occasional,1.0,-1.0,1.0,45.0,female,,65
uk,occasional,2.0,,2.0,51.0,male,movies,66
it,occasional,1.0,903.0,1.0,69.0,female,,67
it,occasional,1.0,1126.0,3.0,68.0,male,,68
fr,occasional,2.0,1790.0,2.0,54.0,male,sport,69
uk,occasional,2.0,5354.0,1.0,66.0,male,movies,70
fr,vip,5.0,8824.0,20.0,61.0,male,,71
uk,frequent,4.0,9426.0,15.0,62.0,female,,72
fr,frequent,2.0,-1.0,11.0,49.0,male,,73
fr,occasional,1.0,2314.0,1.0,70.0,male,movies,74
fr,occasional,2.0,2068.0,1.0,61.0,male,,75
fr,occasional,1.0,1719.0,2.0,39.0,female,,76
fr,occasional,1.0,2057.0,4.0,48.0,male,,77
fr,occasional,1.0,1512.0,1.0,61.0,female,,78
it,occasional,1.0,1281.0,1.0,59.0,female,,79
fr,frequent,1.0,6958.0,11.0,74.0,male,reading,80
fr,frequent,1.0,6129.0,18.0,54.0,female,,81
fr,occasional,2.0,1421.0,2.0,40.0,male,,82
it,occasional,1.0,1591.0,4.0,47.0,female,,83
uk,frequent,3.0,11695.0,13.0,34.0,male,,84
